zip_code,owner_occupied,gross_area,total_value,bed_rms,full_bth,half_bth,kitchens,total_num_rooms,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_type_rank,overall_condition_rank,heat_type_rank,land_use_description_rank,zipcode_4tier_rank,adjusted_tax
02128,1,5308.0,1037300.0,8.0,3.0,0.0,3.0,11.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,8027.72
02128,1,1023.0,523900.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,125.0,7.0,0,4,6,1,3,2082.55
02128,0,1016.0,540400.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,125.0,7.0,0,4,6,1,3,6257.83
02128,0,1121.0,572400.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,3.0,125.0,7.0,0,4,6,1,3,6628.39
02128,0,5264.0,990700.0,8.0,3.0,0.0,3.0,17.0,0.0,0.0,3.0,125.0,125.0,0,3,3,4,3,11472.31
02128,0,5264.0,1042300.0,9.0,3.0,0.0,3.0,17.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,12069.83
02128,0,5032.0,1168500.0,11.0,4.0,0.0,3.0,17.0,0.0,0.0,3.0,125.0,25.0,0,3,6,4,3,13531.23
02128,1,606.0,403400.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,10.0,10.0,0,3,5,1,3,687.1599999999999
02128,0,654.0,422500.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,10.0,10.0,0,3,5,1,3,4892.55
02128,1,723.0,445600.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,10.0,10.0,0,3,5,1,3,1175.83
02128,0,3604.0,881900.0,5.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,126.0,126.0,0,3,3,4,3,10212.4
02128,0,2943.0,817000.0,6.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,9460.86
02128,0,6615.0,1418100.0,9.0,3.0,0.0,3.0,18.0,0.0,4.0,3.0,135.0,23.0,0,3,6,4,3,16421.6
02128,1,5440.0,1130400.0,9.0,3.0,0.0,3.0,18.0,0.0,3.0,2.0,126.0,14.0,0,3,6,4,3,9105.82
