own_occ,gross_area,total_value,gross_tax,bed_rms,full_bth,hlf_bth,tt_rms,kitchens,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_quality,overall_condition_ranking,heat_type_rank,property_rank,zipcode_rank
0,4831.0,975800.0,11299.76,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,115.0,8.0,0,3,6,4,2
1,4272.0,1053800.0,12203.0,9.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,115.0,115.0,0,3,5,4,2
0,2994.0,886200.0,10262.2,5.0,3.0,0.0,12.0,2.0,0.0,4.0,2.0,120.0,32.0,0,3,6,3,2
0,5289.0,902100.0,10446.32,3.0,3.0,0.0,14.0,3.0,0.0,0.0,3.0,125.0,21.0,0,3,6,4,2
0,4238.0,909800.0,10535.48,5.0,4.0,0.0,13.0,3.0,0.0,0.0,3.0,120.0,120.0,0,3,6,4,2
1,2045.0,835100.0,9670.45,4.0,2.0,0.0,10.0,1.0,0.0,2.0,2.0,125.0,3.0,1,4,5,2,2
0,1200.0,687800.0,7964.72,3.0,2.0,0.0,6.0,1.0,0.0,1.0,2.0,125.0,3.0,1,4,5,2,2
1,1235.0,535500.0,6201.09,3.0,1.0,0.0,6.0,1.0,0.0,1.0,3.0,125.0,3.0,0,4,5,2,2
0,4319.0,851500.0,9860.37,5.0,3.0,1.0,14.0,2.0,0.0,0.0,3.0,120.0,2.0,0,4,6,3,2
1,4958.0,998900.0,11567.26,8.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,120.0,5.0,0,3,5,4,2
0,4544.0,1262400.0,14618.59,8.0,3.0,0.0,14.0,3.0,0.0,3.0,3.0,125.0,9.0,1,3,5,4,2
0,5000.0,1015700.0,11761.81,8.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,2
0,5200.0,959300.0,11108.69,8.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,5310.0,1031900.0,11949.4,8.0,3.0,0.0,11.0,3.0,0.0,0.0,3.0,125.0,23.0,0,3,5,4,2
0,852.0,515600.0,5970.65,2.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,125.0,8.0,1,4,5,2,2
0,858.0,527200.0,6104.98,2.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,125.0,8.0,1,4,5,2,2
1,1000.0,565100.0,6543.85,2.0,2.0,0.0,5.0,1.0,0.0,0.0,3.0,125.0,8.0,1,4,5,2,2
0,2591.0,784400.0,9083.35,5.0,2.0,0.0,8.0,2.0,0.0,0.0,3.0,120.0,21.0,0,3,6,3,2
0,2852.0,778400.0,9013.87,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,95.0,95.0,0,3,5,4,2
0,3506.0,902900.0,10455.58,6.0,3.0,0.0,14.0,3.0,0.0,2.0,3.0,120.0,12.0,0,3,6,4,2
1,2384.0,637400.0,7381.09,5.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,105.0,105.0,0,3,5,3,2
0,2037.0,561500.0,6502.17,3.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,120.0,120.0,0,3,6,3,2
1,2781.0,616300.0,7136.75,4.0,2.0,1.0,8.0,2.0,0.0,2.0,2.0,120.0,29.0,0,3,5,1,2
